Player,Points
Elena Rybakina,7492
Aryna Sabalenka,6485
Jessica Pegula,5825
Coco Gauff,5654
Mirra Andreeva,5614
Elina Svitolina,4809
Karolina Muchova,4400
Linda Noskova,4234
Marta Kostyuk,3958
Iga Swiatek,3584
Iva Jovic,2732
Victoria Mboko,2393
Sorana Cirstea,2390
Diana Shnaider,2344
Alexandra Eala,2181
Naomi Osaka,2177
Elise Mertens,2130
Madison Keys,2095
Belinda Bencic,2087
Anna Kalinskaya,1967
Amanda Anisimova,1963
Anastasia Potapova,1807
Emma Navarro,1805
Marie Bouzkova,1708
Maja Chwalinska,1550
Sara Bejlek,1472
Diane Parry,1447
Jelena Ostapenko,1435
Peyton Stearns,1325
Jasmine Paolini,1324
Maria Sakkari,1298
Ann Li,1298
Ekaterina Alexandrova,1279
Cristina Bucsa,1232
Leylah Fernandez,1209
(2001) Wang Xinyu,1181
Nikola Bartunkova,1177
Hailey Baptiste,1153
Liudmila Samsonova,1124
Karolina Pliskova,1105
Donna Vekic,1087
Clara Tauson,1056
Magdalena Frech,1032
Yuliia Starodubtseva,1026
Qinwen Zheng,1018
Janice Tjen,1005
Zeynep Sonmez,996
Barbora Krejcikova,994
Kimberly Birrell,980
Alycia Parks,977
Katie Boulter,975
Elisabetta Cocciaretto,961
Caty McNally,905
Magda Linette,899
Gabriela Ruse Elena,881
Jaqueline Cristian,869
Anna Bondar,855
Yulia Putintseva,851
Taylor Townsend,831
Tamara Korpatsch,831
Lilli Tagger,824
Katerina Siniakova,820
Paula Badosa,817
Tatjana Maria,780
Oleksandra Oliynykova,767
Kamilla Rakhimova,761
Daria Kasatkina,751
Shuai Zhang,747
Camila Osorio,729
Talia Gibson,725
Panna Udvardy,715
Daria Snigur,711
Anna Blinkova,711
Emma Raducanu,709
Ashlyn Krueger,690
Antonia Ruzic,688
Tereza Valentova,675
McCartney Kessler,673
Viktorija Golubic,673
Jessica Bouzas Maneiro,660
Petra Marcinko,647
Solana Sierra,632
Maya Joint,589
Anhelina Kalinina,576
Katie Volynets,571
Anastasia Zakharova,568
Dayana Yastremska,547
Ajla Tomljanovic,544
Sloane Stephens,535
Mayar Sherif,495
Oksana Selekhmeteva,491
Xiyu Wang,472
Eva Lys,460
Alina Korneeva,451
Lanlana Tararudee,442
Emiliana Arango,442
Kaitlin Quevedo,435
Darja Vidmanova,432
Aliaksandra Sasnovich,430
Maria Timofeeva,415
Laura Siegemund,402
Robin Montgomery,400
Leolia Jeanjean,395
Renata Zarazua,392
Sofia Kenin,389
Jil Teichmann,378
Storm Hunter,373
Sonay Kartal,367
Claire Liu,361
Polina Kudermetova,351
Elvina Kalieva,346
Himeno Sakatsume,342
Dominika Salkova,341
Varvara Gracheva,337
Linda Fruhvirtova,335
Maddison Inglis,333
