Player,Points
Elena Rybakina,7492
Aryna Sabalenka,6485
Jessica Pegula,5825
Coco Gauff,5654
Mirra Andreeva,5614
Elina Svitolina,4809
Karolina Muchova,4400
Linda Noskova,4234
Marta Kostyuk,3910
Iga Swiatek,3584
Victoria Mboko,2393
Sorana Cirstea,2390
Diana Shnaider,2344
Iva Jovic,2292
Alexandra Eala,2181
Naomi Osaka,2177
Elise Mertens,2130
Madison Keys,2095
Belinda Bencic,2087
Anna Kalinskaya,1967
Amanda Anisimova,1963
Anastasia Potapova,1807
Emma Navarro,1805
Marie Bouzkova,1708
Maja Chwalinska,1550
Sara Bejlek,1472
Diane Parry,1447
Jelena Ostapenko,1434
Jasmine Paolini,1324
Ann Li,1298
Maria Sakkari,1297
Ekaterina Alexandrova,1279
Leylah Fernandez,1209
(2001) Wang Xinyu,1181
Nikola Bartunkova,1177
Hailey Baptiste,1153
Cristina Bucsa,1145
Peyton Stearns,1108
Karolina Pliskova,1105
Donna Vekic,1087
Clara Tauson,1056
Yuliia Starodubtseva,1026
Qinwen Zheng,1018
Janice Tjen,1005
Zeynep Sonmez,996
Barbora Krejcikova,993
Liudmila Samsonova,989
Magdalena Frech,984
Kimberly Birrell,980
Alycia Parks,977
Katie Boulter,975
Elisabetta Cocciaretto,961
Caty McNally,905
Magda Linette,898
Gabriela Ruse Elena,881
Jaqueline Cristian,869
Anna Bondar,855
Yulia Putintseva,851
Taylor Townsend,831
Tamara Korpatsch,831
Lilli Tagger,824
Katerina Siniakova,820
Tatjana Maria,780
Oleksandra Oliynykova,767
Kamilla Rakhimova,761
Daria Kasatkina,751
Shuai Zhang,747
Camila Osorio,729
Talia Gibson,725
Paula Badosa,720
Panna Udvardy,715
Daria Snigur,711
Emma Raducanu,709
Ashlyn Krueger,690
Antonia Ruzic,688
Tereza Valentova,675
McCartney Kessler,673
Viktorija Golubic,673
Jessica Bouzas Maneiro,660
Petra Marcinko,647
Anna Blinkova,626
Solana Sierra,603
Maya Joint,589
Anhelina Kalinina,576
Katie Volynets,571
Anastasia Zakharova,568
Dayana Yastremska,547
Ajla Tomljanovic,544
Sloane Stephens,535
Mayar Sherif,495
Oksana Selekhmeteva,491
Xiyu Wang,472
Alina Korneeva,451
Lanlana Tararudee,442
Emiliana Arango,442
Darja Vidmanova,432
Eva Lys,430
Aliaksandra Sasnovich,430
Maria Timofeeva,415
Laura Siegemund,402
Robin Montgomery,399
Leolia Jeanjean,395
Renata Zarazua,392
Sofia Kenin,389
Jil Teichmann,378
Storm Hunter,372
Sonay Kartal,367
Claire Liu,361
Polina Kudermetova,351
Elvina Kalieva,346
Himeno Sakatsume,342
Varvara Gracheva,337
Linda Fruhvirtova,335
Maddison Inglis,333
Rebecca Sramkova,324
Francesca Jones,320
